RM107-2021-3-filtered-2024-11-30T12-43-39Z
Regions Code,Regions,Occupation Code,Occupation,Sex Code,Sex,Observation
E12000008,South East,6,"6. Caring, leisure and other service occupations",1,Female,329338
E12000008,South East,6,"6. Caring, leisure and other service occupations",2,Male,77554
E12000008,South East,7,7. Sales and customer service occupations,1,Female,188755
E12000008,South East,7,7. Sales and customer service occupations,2,Male,116240
E12000008,South East,8,"8. Process, plant and machine operatives",1,Female,30993
E12000008,South East,8,"8. Process, plant and machine operatives",2,Male,217369
E12000008,South East,9,9. Elementary occupations,1,Female,182301
E12000008,South East,9,9. Elementary occupations,2,Male,211865
E12000009,South West,-8,Does not apply,1,Female,1618822
E12000009,South West,-8,Does not apply,2,Male,1390030
E12000009,South West,1,"1. Managers, directors and senior officials",1,Female,127144
E12000009,South West,1,"1. Managers, directors and senior officials",2,Male,217023
E12000009,South West,2,2. Professional occupations,1,Female,268457
E12000009,South West,2,2. Professional occupations,2,Male,245249
E12000009,South West,3,3. Associate professional and technical occupations,1,Female,171712
E12000009,South West,3,3. Associate professional and technical occupations,2,Male,173187
E12000009,South West,4,4. Administrative and secretarial occupations,1,Female,192748
E12000009,South West,4,4. Administrative and secretarial occupations,2,Male,57509
E12000009,South West,5,5. Skilled trades occupations,1,Female,36806
E12000009,South West,5,5. Skilled trades occupations,2,Male,289211
E12000009,South West,6,"6. Caring, leisure and other service occupations",1,Female,217555
E12000009,South West,6,"6. Caring, leisure and other service occupations",2,Male,49370
E12000009,South West,7,7. Sales and customer service occupations,1,Female,127863
E12000009,South West,7,7. Sales and customer service occupations,2,Male,74490
E12000009,South West,8,"8. Process, plant and machine operatives",1,Female,24852
E12000009,South West,8,"8. Process, plant and machine operatives",2,Male,148912
E12000009,South West,9,9. Elementary occupations,1,Female,125591
E12000009,South West,9,9. Elementary occupations,2,Male,144653
W92000004,Wales,-8,Does not apply,1,Female,924295
W92000004,Wales,-8,Does not apply,2,Male,814748
W92000004,Wales,1,"1. Managers, directors and senior officials",1,Female,54330
W92000004,Wales,1,"1. Managers, directors and senior officials",2,Male,89608
W92000004,Wales,2,2. Professional occupations,1,Female,138934
W92000004,Wales,2,2. Professional occupations,2,Male,110532
W92000004,Wales,3,3. Associate professional and technical occupations,1,Female,79791
W92000004,Wales,3,3. Associate professional and technical occupations,2,Male,81482
W92000004,Wales,4,4. Administrative and secretarial occupations,1,Female,97376
W92000004,Wales,4,4. Administrative and secretarial occupations,2,Male,30740
W92000004,Wales,5,5. Skilled trades occupations,1,Female,18775
W92000004,Wales,5,5. Skilled trades occupations,2,Male,147838
W92000004,Wales,6,"6. Caring, leisure and other service occupations",1,Female,122779
W92000004,Wales,6,"6. Caring, leisure and other service occupations",2,Male,30250
W92000004,Wales,7,7. Sales and customer service occupations,1,Female,72599
W92000004,Wales,7,7. Sales and customer service occupations,2,Male,41960
W92000004,Wales,8,"8. Process, plant and machine operatives",1,Female,13977
W92000004,Wales,8,"8. Process, plant and machine operatives",2,Male,93498
W92000004,Wales,9,9. Elementary occupations,1,Female,63634
W92000004,Wales,9,9. Elementary occupations,2,Male,80348
